section,1,2,3,4,5,6,7,8,9,10,11,AVG
1,14.28,22.89,23.06,23.40,23.92,24.18,24.30,23.49,24.01,23.83,19.81,22.47
2,22.65,23.33,22.85,22.93,23.40,23.04,22.96,23.03,23.13,23.18,18.73,22.66
3,22.47,24.33,24.42,24.25,24.14,24.04,24.23,24.26,24.37,24.18,20.52,23.75
4,20.26,23.62,23.62,23.40,23.44,23.86,23.61,23.38,22.88,22.88,22.46,23.04
5,18.64,22.90,22.94,22.82,22.87,22.80,23.05,22.90,22.65,22.81,22.98,22.49
6,14.98,23.64,24.08,24.28,24.33,23.59,24.00,23.92,24.23,24.15,24.44,23.24
AVG,18.88,23.45,23.49,23.52,23.68,23.59,23.69,23.50,23.54,23.50,21.49,22.94
,,,,,,,,,,,,
,,,,,,,,,,,,
% Diff,,,,,,,,,,,,
section,1,2,3,4,5,6,7,8,9,10,11,
1,75.6%,97.6%,98.1%,99.5%,101.0%,102.5%,102.6%,100.0%,102.0%,101.4%,92.2%,
2,120.0%,99.5%,97.3%,97.5%,98.8%,97.7%,96.9%,98.0%,98.2%,98.6%,87.2%,
3,119.0%,103.7%,103.9%,103.1%,101.9%,101.9%,102.3%,103.3%,103.5%,102.9%,95.5%,
4,107.3%,100.7%,100.5%,99.5%,99.0%,101.1%,99.7%,99.5%,97.2%,97.3%,104.5%,
5,98.7%,97.7%,97.6%,97.1%,96.6%,96.7%,97.3%,97.4%,96.2%,97.0%,106.9%,
6,79.3%,100.8%,102.5%,103.3%,102.7%,100.0%,101.3%,101.8%,102.9%,102.7%,113.7%,
